ticket_id,product,priority,status,short_description,description,closed_notes
TKT-00001,SharePoint,P2,Closed,permission corrupted when trying to edit,permission corrupted when trying to edit. User has tried clearing cache without success.,Resolved by resetting permission. User confirmed working.
TKT-00002,SharePoint,P2,Closed,dock damaged preventing work,dock damaged preventing work. User reports printer broken affecting productivity.,Resolved by resetting dock. User confirmed working.
TKT-00003,PowerBI,P1,Closed,Cannot view appointment in PowerBI,Cannot view appointment in PowerBI. Error occurs when attempting to access. sync and send also affected.,Escalated to specialist team. Resolution: receive updated.
TKT-00004,Email,P4,Closed,dock broken preventing work,dock broken preventing work. This is impacting project deadlines.,Fixed laptop malfunction. Tested successfully with user.
TKT-00005,OneDrive,P4,Closed,collaborate corrupted when trying to move,collaborate corrupted when trying to move. User reports file corrupted affecting productivity.,Fixed file missing. Tested successfully with user.
TKT-00006,Outlook,P2,Closed,credential issue preventing access to Outlook,credential issue preventing access to Outlook. This is impacting team collaboration.,Escalated to tier 2. Resolution: locked reconfigured.
TKT-00007,Excel,P1,Closed,latency error affecting Excel access,latency error affecting Excel access. This is impacting daily workflow.,Escalated to vendor support. Resolution: firewall replaced.
TKT-00008,Outlook,P1,Closed,Need assistance with appointment view,Need assistance with appointment view. User has tried updating without success.,Resolved by reinstalling appointment. User confirmed working.
TKT-00009,Outlook,P3,Closed,Permission denied when share file,Permission denied when share file. User reports folder error affecting productivity.,Escalated to tier 2. Resolution: collaborate replaced.
TKT-00010,OneDrive,P3,Closed,issue during software process,issue during software process. This is impacting team collaboration.,Applied patch. Issue no longer occurring.
TKT-00011,Smartsheet,P1,Closed,laptop broken preventing work,laptop broken preventing work. User reports hardware malfunction affecting productivity.,Resolved by reconfiguring laptop. User confirmed fixed.
TKT-00012,PowerBI,P1,Closed,collaborate denied when trying to download,collaborate denied when trying to download. Error occurs when attempting to move. download also affected.,Escalated to tier 2. Resolution: file updated.
TKT-00013,Email,P2,Closed,two-factor error preventing access to Email,two-factor error preventing access to Email. User reports credential expired affecting productivity.,Escalated to vendor support. Resolution: account replaced.
TKT-00014,SharePoint,P4,Closed,Request license activate assistance,Request license activate assistance. User has tried updating without success.,Resolved by reinstalling license. User confirmed fixed.
TKT-00015,SharePoint,P4,Closed,Experiencing loading problem with SharePoint,Experiencing loading problem with SharePoint. This is impacting team collaboration.,Resolved by reinstalling loading. User confirmed resolved.
TKT-00016,OneDrive,P1,Closed,problem during application process,problem during application process. User reports upgrade problem affecting productivity.,Corrected update problem. Tested successfully with user.
TKT-00017,Teams,P3,Closed,Intermittent latency failure,Intermittent latency failure. User reports connectivity unstable affecting productivity.,Resolved by resetting latency. User confirmed resolved.
TKT-00018,Smartsheet,P2,Closed,User unable to authenticate due to expired authentication,User unable to authenticate due to expired authentication. User has tried reinstalling without success.,Applied fix. Issue no longer occurring.
TKT-00019,Email,P3,Closed,Cannot login Email on cellular device,Cannot login Email on cellular device. This is impacting team collaboration.,Escalated to vendor support. Resolution: cellular replaced.
