ticket_id,product,priority,status,short_description,description,closed_notes
TKT-00001,Email,P1,Closed,display damaged preventing work,display damaged preventing work. Error occurs when attempting to responding. dock also affected.,Resolved by reinstalling display. User confirmed working.
TKT-00002,Email,P4,Closed,patch failure when attempting configure,patch failure when attempting configure. Error occurs when attempting to deploy. version also affected.,Resolved by reinstalling patch. User confirmed fixed.
TKT-00003,Outlook,P1,Closed,document failure when trying to access,document failure when trying to access. This is impacting team collaboration.,Resolved by reinstalling document. User confirmed resolved.
TKT-00004,Email,P4,Closed,Cannot forward calendar in Email,Cannot forward calendar in Email. User has tried clearing cache without success.,Escalated to vendor support. Resolution: inbox updated.
TKT-00005,OneDrive,P3,Closed,display failure requiring support,display failure requiring support. Error occurs when attempting to working. printer and laptop also affected.,Escalated to specialist team. Resolution: charger reconfigured.
TKT-00006,Excel,P3,Closed,Need assistance with attachment send,Need assistance with attachment send. Error occurs when attempting to send. out-of-office and calendar and sync also affected.,Resolved calendar display. Tested successfully with user.
TKT-00007,Outlook,P3,Closed,Request access to download in Outlook,Request access to download in Outlook. This is impacting daily workflow.,Resolved by reconfiguring download. User confirmed fixed.
TKT-00008,PowerBI,P2,Closed,Need assistance with out-of-office sync,Need assistance with out-of-office sync. Error occurs when attempting to send. attachment and send and appointment also affected.,Resolved inbox display. Tested successfully with user.
TKT-00009,Email,P4,Closed,User unable to reset due to issue authentication,User unable to reset due to issue authentication. Error occurs when attempting to access. two-factor also affected.,Resolved by reconfiguring authentication. User confirmed fixed.
TKT-00010,Teams,P1,Closed,Teams unavailable due to latency problem,Teams unavailable due to latency problem. User has tried restarting without success.,Resolved by updating latency. User confirmed resolved.
TKT-00011,Outlook,P1,Closed,printer broken preventing work,printer broken preventing work. This is impacting project deadlines.,Corrected mouse damaged. Tested successfully with user.
TKT-00012,Excel,P2,Closed,Request to access login for user account,Request to access login for user account. User has tried clearing cache without success.,Resolved account problem. Tested successfully with user.
TKT-00013,Excel,P4,Closed,User unable to authenticate due to error authentication,User unable to authenticate due to error authentication. This is impacting daily workflow.,Escalated to specialist team. Resolution: login replaced.
TKT-00014,Excel,P4,Closed,printer malfunction requiring support,printer malfunction requiring support. This is impacting daily workflow.,Escalated to vendor support. Resolution: mouse updated.
TKT-00015,Outlook,P3,Closed,Permission denied when move collaborate,Permission denied when move collaborate. User reports denied error affecting productivity.,Corrected upload denied. Tested successfully with user.
TKT-00016,Smartsheet,P2,Closed,Need assistance with send forward,Need assistance with send forward. This is impacting project deadlines.,Escalated to vendor support. Resolution: meeting reconfigured.
TKT-00017,PowerBI,P1,Closed,Need help with two-factor error,Need help with two-factor error. User reports unlock expired affecting productivity.,Corrected expired problem. Tested successfully with user.
TKT-00018,Outlook,P1,Closed,Need assistance with receive forward,Need assistance with receive forward. User reports inbox permissions affecting productivity.,Escalated to tier 2. Resolution: out-of-office updated.
TKT-00019,Email,P2,Closed,issue during update process,issue during update process. This is impacting project deadlines.,Resolved by reinstalling update. User confirmed resolved.
TKT-00020,Smartsheet,P2,Closed,Issue with delegate synchronization,Issue with delegate synchronization. User reports send loading affecting productivity.,Implemented fix. Issue no longer occurring.
TKT-00021,Teams,P4,Closed,Issue with out-of-office loading,Issue with out-of-office loading. User reports out-of-office display affecting productivity.,Resolved by resetting out-of-office. User confirmed resolved.
TKT-00022,OneDrive,P1,Closed,chart error in OneDrive,chart error in OneDrive. This is impacting team collaboration.,Deployed patch. Issue no longer occurring.
TKT-00023,OneDrive,P2,Closed,inbox not delete properly,inbox not delete properly. Error occurs when attempting to delete. send also affected.,Applied patch. Issue no longer occurring.
TKT-00024,Excel,P3,Closed,Seeking setup for new Excel feature,Seeking setup for new Excel feature. This is impacting client communication.,Deployed update. Issue no longer occurring.
TKT-00025,Smartsheet,P2,Closed,Request configure for Smartsheet setup,Request configure for Smartsheet setup. This is impacting team collaboration.,Escalated to specialist team. Resolution: training replaced.
TKT-00026,OneDrive,P2,Closed,compatibility during patch process,compatibility during patch process. Error occurs when attempting to activate. version and installation and application also affected.,Resolved by updating patch. User confirmed resolved.
TKT-00027,Outlook,P3,Closed,Need assistance with email view,Need assistance with email view. User reports calendar delivery affecting productivity.,Escalated to specialist team. Resolution: receive reconfigured.
TKT-00028,Teams,P3,Closed,Unable to upload denied in Teams,Unable to upload denied in Teams. User has tried reinstalling without success.,Applied update. Issue no longer occurring.
TKT-00029,OneDrive,P2,Closed,Need help update report,Need help update report. User has tried reinstalling without success.,Resolved by reinstalling report. User confirmed resolved.
TKT-00030,Outlook,P4,Closed,Need help with expired issue,Need help with expired issue. This is impacting project deadlines.,Implemented fix. Issue no longer occurring.
TKT-00031,Teams,P2,Closed,Need help export export,Need help export export. Error occurs when attempting to update. dashboard also affected.,Resolved by resetting export. User confirmed fixed.
TKT-00032,Outlook,P3,Closed,Request learn for Outlook create,Request learn for Outlook create. User reports learn request affecting productivity.,Corrected training inquiry. Tested successfully with user.
TKT-00033,SharePoint,P4,Closed,analytics not view correctly,analytics not view correctly. This is impacting daily workflow.,Resolved by reinstalling analytics. User confirmed fixed.
TKT-00034,Outlook,P1,Closed,sync not send properly,sync not send properly. User has tried restarting without success.,Corrected email permissions. Tested successfully with user.
TKT-00035,Excel,P4,Closed,failure during upgrade process,failure during upgrade process. This is impacting team collaboration.,Resolved by reconfiguring upgrade. User confirmed fixed.
TKT-00036,Outlook,P2,Closed,Unable to access sync in Outlook,Unable to access sync in Outlook. Error occurs when attempting to move. download also affected.,Resolved by reinstalling sync. User confirmed working.
TKT-00037,OneDrive,P2,Closed,Unable to upload access in OneDrive,Unable to upload access in OneDrive. User reports folder denied affecting productivity.,Applied fix. Issue no longer occurring.
TKT-00038,PowerBI,P4,Closed,Issue with sync display,Issue with sync display. User reports out-of-office synchronization affecting productivity.,Resolved send permissions. Tested successfully with user.
TKT-00039,Teams,P4,Closed,Experiencing timeout performance with Teams,Experiencing timeout performance with Teams. User has tried updating without success.,Deployed configuration change. Issue no longer occurring.
TKT-00040,Teams,P1,Closed,Need help with password expired,Need help with password expired. User reports MFA failure affecting productivity.,Deployed patch. Issue no longer occurring.
TKT-00041,PowerBI,P3,Closed,PowerBI performance when saving,PowerBI performance when saving. This is impacting project deadlines.,Resolved by reinstalling performance. User confirmed fixed.
TKT-00042,Outlook,P4,Closed,dock broken preventing work,dock broken preventing work. This is impacting daily workflow.,Corrected hardware broken. Tested successfully with user.
TKT-00043,OneDrive,P1,Closed,locked expired preventing access to OneDrive,locked expired preventing access to OneDrive. User has tried clearing cache without success.,Resolved by reinstalling locked. User confirmed working.
TKT-00044,Smartsheet,P1,Closed,Application performance during normal use,Application performance during normal use. This is impacting project deadlines.,Fixed delay performance. Tested successfully with user.
TKT-00045,Teams,P4,Closed,Need help with MFA problem,Need help with MFA problem. User reports two-factor failure affecting productivity.,Resolved by reinstalling MFA. User confirmed resolved.
TKT-00046,Smartsheet,P3,Closed,access corrupted when trying to access,access corrupted when trying to access. User has tried clearing cache without success.,Escalated to specialist team. Resolution: access updated.
TKT-00047,Email,P4,Closed,compatibility during application process,compatibility during application process. Error occurs when attempting to update. upgrade and activation also affected.,Applied fix. Issue no longer occurring.
TKT-00048,Email,P1,Closed,Email performance and behavior,Email performance and behavior. Error occurs when attempting to loading. lag and loading also affected.,Fixed performance problem. Tested successfully with user.
TKT-00049,Excel,P2,Closed,license failure when attempting deploy,license failure when attempting deploy. This is impacting daily workflow.,Applied fix. Issue no longer occurring.
TKT-00050,Outlook,P4,Closed,Request to reset expired for user account,Request to reset expired for user account. This is impacting client communication.,Escalated to tier 2. Resolution: two-factor replaced.
TKT-00051,Smartsheet,P4,Closed,out-of-office not delete properly,out-of-office not delete properly. User reports appointment loading affecting productivity.,Corrected meeting delivery. Tested successfully with user.
TKT-00052,Excel,P2,Closed,Unable to move collaborate in Excel,Unable to move collaborate in Excel. This is impacting client communication.,Resolved by reconfiguring collaborate. User confirmed working.
TKT-00053,PowerBI,P1,Closed,Experiencing loading issue with PowerBI,Experiencing loading issue with PowerBI. User reports slow issue affecting productivity.,Resolved by reinstalling loading. User confirmed working.
TKT-00054,Outlook,P3,Closed,Request to access password for user account,Request to access password for user account. User reports unlock locked affecting productivity.,Escalated to specialist team. Resolution: authentication reconfigured.
TKT-00055,Smartsheet,P2,Closed,Need assistance with appointment send,Need assistance with appointment send. User reports email loading affecting productivity.,Implemented configuration change. Issue no longer occurring.
TKT-00056,Teams,P4,Closed,Intermittent firewall timeout,Intermittent firewall timeout. Error occurs when attempting to establish. bandwidth also affected.,Escalated to vendor support. Resolution: offline replaced.
TKT-00057,Smartsheet,P1,Closed,chart error in Smartsheet,chart error in Smartsheet. This is impacting project deadlines.,Escalated to tier 2. Resolution: report replaced.
TKT-00058,Outlook,P1,Closed,Need to configure activation for Outlook,Need to configure activation for Outlook. User reports software compatibility affecting productivity.,Resolved version error. Tested successfully with user.
TKT-00059,Excel,P1,Closed,Permission denied when share sync,Permission denied when share sync. This is impacting project deadlines.,Fixed upload failure. Tested successfully with user.
TKT-00060,Excel,P3,Closed,Experiencing unresponsive problem with Excel,Experiencing unresponsive problem with Excel. User reports freeze issue affecting productivity.,Applied fix. Issue no longer occurring.
TKT-00061,Excel,P4,Closed,Issue with sync display,Issue with sync display. User has tried updating without success.,Resolved by reinstalling sync. User confirmed working.
TKT-00062,Outlook,P4,Closed,Request to unlock account for user account,Request to unlock account for user account. Error occurs when attempting to authenticate. authentication also affected.,Escalated to tier 2. Resolution: two-factor reconfigured.
TKT-00063,Smartsheet,P3,Closed,disconnect error affecting Smartsheet access,disconnect error affecting Smartsheet access. User has tried clearing cache without success.,Implemented fix. Issue no longer occurring.
TKT-00064,OneDrive,P2,Closed,Need to configure install for OneDrive,Need to configure install for OneDrive. User reports license error affecting productivity.,Resolved by resetting install. User confirmed working.
TKT-00065,Outlook,P1,Closed,Issue with appointment permissions,Issue with appointment permissions. Error occurs when attempting to send. receive also affected.,Deployed configuration change. Issue no longer occurring.
TKT-00066,Excel,P3,Closed,query outdated in Excel,query outdated in Excel. This is impacting team collaboration.,Fixed chart incomplete. Tested successfully with user.
TKT-00067,Teams,P2,Closed,Intermittent timeout error,Intermittent timeout error. User has tried restarting without success.,Implemented configuration change. Issue no longer occurring.
TKT-00068,Teams,P3,Closed,sync corrupted when trying to download,sync corrupted when trying to download. User reports access missing affecting productivity.,Escalated to specialist team. Resolution: sync reconfigured.
TKT-00069,Email,P3,Closed,failure during software process,failure during software process. This is impacting team collaboration.,Resolved by reinstalling software. User confirmed working.
TKT-00070,Excel,P3,Closed,Unable to edit document in Excel,Unable to edit document in Excel. This is impacting daily workflow.,Escalated to tier 2. Resolution: permission reconfigured.
TKT-00071,PowerBI,P1,Closed,hardware not displaying properly,hardware not displaying properly. User reports peripheral broken affecting productivity.,Resolved printer defective. Tested successfully with user.
TKT-00072,SharePoint,P1,Closed,Request to access login for user account,Request to access login for user account. User reports account expired affecting productivity.,Corrected authentication locked. Tested successfully with user.
TKT-00073,Excel,P4,Closed,Cannot forward calendar in Excel,Cannot forward calendar in Excel. This is impacting daily workflow.,Implemented update. Issue no longer occurring.
TKT-00074,Outlook,P1,Closed,failure during upgrade process,failure during upgrade process. User reports version failure affecting productivity.,Resolved by updating upgrade. User confirmed fixed.
TKT-00075,Teams,P4,Closed,monitor broken preventing work,monitor broken preventing work. User reports keyboard damaged affecting productivity.,Escalated to tier 2. Resolution: monitor updated.
TKT-00076,SharePoint,P2,Closed,Cannot connect due to offline dropped,Cannot connect due to offline dropped. User reports timeout error affecting productivity.,Resolved by reinstalling offline. User confirmed fixed.
TKT-00077,Outlook,P3,Closed,Cannot view inbox in Outlook,Cannot view inbox in Outlook. User has tried updating without success.,Applied fix. Issue no longer occurring.
TKT-00078,Email,P3,Closed,Need help export chart,Need help export chart. This is impacting project deadlines.,Applied patch. Issue no longer occurring.
TKT-00079,Smartsheet,P1,Closed,Smartsheet slow and issue,Smartsheet slow and issue. User reports loading issue affecting productivity.,Resolved by reconfiguring slow. User confirmed working.
TKT-00080,Outlook,P2,Closed,problem during application process,problem during application process. User has tried clearing cache without success.,Corrected install issue. Tested successfully with user.
TKT-00081,SharePoint,P1,Closed,Need to upgrade update for SharePoint,Need to upgrade update for SharePoint. User has tried restarting without success.,Resolved by reinstalling update. User confirmed resolved.
TKT-00082,Email,P1,Closed,install error when attempting update,install error when attempting update. This is impacting project deadlines.,Fixed activation failure. Tested successfully with user.
TKT-00083,Outlook,P3,Closed,inbox not sync properly,inbox not sync properly. This is impacting client communication.,Corrected meeting loading. Tested successfully with user.
TKT-00084,OneDrive,P3,Closed,Request to unlock password for user account,Request to unlock password for user account. Error occurs when attempting to login. login also affected.,Resolved password error. Tested successfully with user.
TKT-00085,Teams,P3,Closed,Cannot share analytics from Teams,Cannot share analytics from Teams. Error occurs when attempting to refresh. export and query and visualization also affected.,Applied patch. Issue no longer occurring.
