ticket_id,product,priority,status,short_description,description,closed_notes
TKT-00001,PowerBI,P1,Closed,file corrupted when trying to download,file corrupted when trying to download. User has tried updating without success.,Resolved by resetting file. User confirmed fixed.
TKT-00002,SharePoint,P1,Closed,User unable to access due to failure expired,User unable to access due to failure expired. This is impacting project deadlines.,Fixed login issue. Tested successfully with user.
TKT-00003,Outlook,P2,Closed,reset locked preventing access to Outlook,reset locked preventing access to Outlook. Error occurs when attempting to reset. credential also affected.,Resolved by resetting reset. User confirmed resolved.
TKT-00004,OneDrive,P1,Closed,Experiencing loading problem with OneDrive,Experiencing loading problem with OneDrive. User has tried clearing cache without success.,Implemented patch. Issue no longer occurring.
TKT-00005,PowerBI,P2,Closed,Cannot connect due to latency unstable,Cannot connect due to latency unstable. Error occurs when attempting to access. timeout also affected.,Resolved by reconfiguring latency. User confirmed fixed.
TKT-00006,Smartsheet,P3,Closed,locked locked preventing access to Smartsheet,locked locked preventing access to Smartsheet. Error occurs when attempting to unlock. account and two-factor also affected.,Resolved by reinstalling locked. User confirmed resolved.
TKT-00007,PowerBI,P2,Closed,Request to login credential for user account,Request to login credential for user account. This is impacting daily workflow.,Applied fix. Issue no longer occurring.
TKT-00008,Email,P3,Closed,Intermittent connection failure,Intermittent connection failure. Error occurs when attempting to access. disconnect also affected.,Fixed disconnect blocked. Tested successfully with user.
TKT-00009,Teams,P3,Closed,Cannot connect due to timeout timeout,Cannot connect due to timeout timeout. User reports connectivity unstable affecting productivity.,Fixed connection timeout. Tested successfully with user.
TKT-00010,Email,P1,Closed,Need assistance with meeting send,Need assistance with meeting send. User reports send synchronization affecting productivity.,Applied update. Issue no longer occurring.
TKT-00011,Teams,P4,Closed,data not export correctly,data not export correctly. User has tried updating without success.,Applied configuration change. Issue no longer occurring.
TKT-00012,SharePoint,P2,Closed,Need help with login failure,Need help with login failure. User reports two-factor locked affecting productivity.,Escalated to vendor support. Resolution: credential updated.
TKT-00013,OneDrive,P2,Closed,Permission denied when access download,Permission denied when access download. User has tried restarting without success.,Corrected collaborate failure. Tested successfully with user.
TKT-00014,SharePoint,P1,Closed,Cannot forward meeting in SharePoint,Cannot forward meeting in SharePoint. User reports attachment loading affecting productivity.,Deployed fix. Issue no longer occurring.
TKT-00015,Outlook,P1,Closed,credential locked preventing access to Outlook,credential locked preventing access to Outlook. Error occurs when attempting to unlock. expired also affected.,Implemented configuration change. Issue no longer occurring.
TKT-00016,Excel,P1,Closed,Request access to upload in Excel,Request access to upload in Excel. User reports collaborate missing affecting productivity.,Resolved by resetting upload. User confirmed working.
TKT-00017,OneDrive,P2,Closed,Need help with reset failure,Need help with reset failure. Error occurs when attempting to access. MFA and password also affected.,Escalated to specialist team. Resolution: MFA reconfigured.
TKT-00018,Smartsheet,P3,Closed,Issue with appointment permissions,Issue with appointment permissions. User reports delegate permissions affecting productivity.,Resolved by resetting appointment. User confirmed working.
TKT-00019,OneDrive,P1,Closed,Permission denied when edit collaborate,Permission denied when edit collaborate. User has tried reinstalling without success.,Escalated to tier 2. Resolution: document updated.
TKT-00020,SharePoint,P3,Closed,calendar not forward properly,calendar not forward properly. Error occurs when attempting to access. email also affected.,Escalated to tier 2. Resolution: delegate reconfigured.
TKT-00021,Outlook,P3,Closed,charger failure preventing work,charger failure preventing work. User has tried restarting without success.,Escalated to tier 2. Resolution: dock reconfigured.
TKT-00022,OneDrive,P3,Closed,connectivity dropped affecting OneDrive access,connectivity dropped affecting OneDrive access. Error occurs when attempting to maintain. network and disconnect also affected.,Deployed configuration change. Issue no longer occurring.
TKT-00023,Email,P2,Closed,Request access to denied in Email,Request access to denied in Email. User has tried updating without success.,Escalated to tier 2. Resolution: share updated.
TKT-00024,PowerBI,P2,Closed,PowerBI hang and behavior,PowerBI hang and behavior. This is impacting client communication.,Escalated to vendor support. Resolution: crash replaced.
TKT-00025,Excel,P2,Closed,offline problem with Excel,offline problem with Excel. User has tried updating without success.,Corrected phone crash. Tested successfully with user.
TKT-00026,Smartsheet,P2,Closed,Smartsheet freeze and performance,Smartsheet freeze and performance. User reports unresponsive issue affecting productivity.,Escalated to vendor support. Resolution: crash reconfigured.
TKT-00027,Outlook,P1,Closed,Request to authenticate two-factor for user account,Request to authenticate two-factor for user account. Error occurs when attempting to unlock. MFA also affected.,Resolved by resetting two-factor. User confirmed working.
TKT-00028,Teams,P4,Closed,network error affecting Teams access,network error affecting Teams access. User has tried updating without success.,Resolved by resetting network. User confirmed resolved.
TKT-00029,Outlook,P1,Closed,Request upgrade update assistance,Request upgrade update assistance. User has tried clearing cache without success.,Resolved by reinstalling upgrade. User confirmed fixed.
TKT-00030,Excel,P1,Closed,Cannot generate data from Excel,Cannot generate data from Excel. User has tried updating without success.,Fixed filter incorrect. Tested successfully with user.
TKT-00031,Excel,P4,Closed,Request access to folder in Excel,Request access to folder in Excel. User has tried restarting without success.,Escalated to tier 2. Resolution: sync updated.
TKT-00032,Outlook,P3,Closed,Application delay during normal use,Application delay during normal use. User reports hang problem affecting productivity.,Resolved by reinstalling delay. User confirmed resolved.
TKT-00033,Teams,P4,Closed,Request access to access in Teams,Request access to access in Teams. This is impacting client communication.,Escalated to vendor support. Resolution: share reconfigured.
TKT-00034,SharePoint,P4,Closed,Seeking training for new SharePoint feature,Seeking training for new SharePoint feature. User reports configure question affecting productivity.,Resolved by resetting training. User confirmed working.
TKT-00035,Teams,P3,Closed,Permission denied when delete share,Permission denied when delete share. This is impacting client communication.,Escalated to specialist team. Resolution: file updated.
TKT-00036,Excel,P3,Closed,Request installation upgrade assistance,Request installation upgrade assistance. User has tried reinstalling without success.,Resolved by reconfiguring installation. User confirmed working.
TKT-00037,OneDrive,P3,Closed,appointment not access properly,appointment not access properly. Error occurs when attempting to sync. inbox and meeting also affected.,Resolved inbox delivery. Tested successfully with user.
TKT-00038,SharePoint,P3,Closed,Application loading during normal use,Application loading during normal use. User has tried updating without success.,Applied update. Issue no longer occurring.
